id	north	south	east	west	high	low	name	scientific_name
5848	30.3898	30.3794	-81.4883	-81.5047	NULL	NULL	Fort Caroline National Memorial, Jacksonville, Florida, USA	USA, Florida, Jacksonville, Fort Caroline National Memorial
5849	43.9833	41.9833	79.4431	77.4431	NULL	NULL	Kaindy Lake, Kungey Alatau, Kazakhstan	Kazakhstan, Kungey Alatau, Kaindy Lake
5850	42.9651	42.9126	24.4682	24.421	NULL	NULL	Stara planina mountain, Lesidren, Bulgaria	Bulgaria, Lesidren, Stara planina mountain
5851	42.5956	42.5674	23.4488	23.404	NULL	NULL	Pancharevo, Sofia, Bulgaria	Bulgaria, Sofia, Pancharevo
5852	44.1864	42.1864	24.1527	22.1527	NULL	NULL	West Stara planina mountain, Barzya, Bulgaria	Bulgaria, Barzya, West Stara planina mountain
5853	43.4767	41.4767	24.3298	22.3298	NULL	NULL	Yarema, Vitosha mountain, Bulgaria	Bulgaria, Vitosha mountain, Yarema
5854	42.6699	42.6514	23.3662	23.3101	NULL	NULL	Loven park, Sofia, Bulgaria	Bulgaria, Sofia, Loven park
5855	43.5741	41.5741	24.303	22.303	NULL	NULL	Aleko, Vitosha mountain, Bulgaria	Bulgaria, Vitosha mountain, Aleko
5856	43.8281	41.8281	25.3853	23.3853	NULL	NULL	Ribarica, Stara planina mountain, Bulgaria	Bulgaria, Stara planina mountain, Ribarica
5857	43.7705	41.7705	25.911	23.911	NULL	NULL	Aprilci, Stara planina mountain, Bulgaria	Bulgaria, Stara planina mountain, Aprilci
5858	42.8518	40.8518	25.6804	23.6804	NULL	NULL	Hvoyna, Rodopi mountain, Bulgaria	Bulgaria, Rodopi mountain, Hvoyna
5859	41.7355	41.3914	24.957	24.4316	NULL	NULL	Smolyan, Rodopi mountain, Bulgaria	Bulgaria, Rodopi mountain, Smolyan
5860	41.1954	41.1244	-78.5097	-78.5766	NULL	NULL	S.B. Elliot State Park, Pennsylvania, USA	USA, Pennsylvania, S.B. Elliot State Park
5861	-25.9412	-25.9733	153.149	153.096	154	154	Freshwater Rd., Cooloola, Queensland, Australia	Australia, Queensland, Cooloola, Freshwater Rd.
5862	45.255	45.2445	-87.1027	-87.11	NULL	NULL	Ellison Bluff County Park, Wisconsin, USA	USA, Wisconsin, Ellison Bluff County Park
5863	40.8637	40.7873	-75.2879	-75.5545	NULL	NULL	Pennsylvania State Game Lands 168, Pennsylvania, USA	USA, Pennsylvania, Pennsylvania State Game Lands 168
5864	42.7008	42.6352	-108.946	-109.074	NULL	NULL	Stough Creek Basin, Fremont Co., Wyoming, USA	USA, Wyoming, Fremont Co., Stough Creek Basin
5865	-45.4178	-45.4184	167.717	167.716	NULL	NULL	Town park at corner of Mokoroa Street and Harrison Court, Te Anau, Southland, South Island, New Zealand	New Zealand, South Island, Southland, Te Anau, Town park at corner of Mokoroa Street and Harrison Court
